Country,Country_Code,Year,Fertility_Rate,Urban_Population_Percent,Total_Population,Water_Access_Percent,Unemployment_Rate,Sanitary_Expense_Per_GDP,Life_Expectancy,Life_Expectancy_Female,Life_Expectancy_Male,Infant_Deaths,GDP_Per_Capita,Hospital_Beds_Per_1000,Female_Population,Male_Population,Alcohol_Consumption_Per_Capita,Immunization_Rate,Sanitary_Expense_Per_Capita,CO2_Exposure_Percent,Air_Pollution,Labour_Force_Total,Tuberculosis_Per_100000,Suicide_Rate_Percent,Obesity_Rate_Percent,Underweight_Rate_Percent,Overweight_Rate_Percent,Safe_Water_Access_Percent
Albania,ALB,2015,1.613,57.434,2880703.0,70.5919698860001,17.193,6.46411896,78.644,81.183,76.404,293.0,3952.80357364813,2.85,1435812.0,1444890.0,5.04,99.0,255.35635376,19.121557306579,19.121557306579,1308343.0,17.0,3.17,17.54,0.69,54.73,90.63
Albania,ALB,2016,1.551,58.421,2876101.0,70.6165078550165,15.418,6.7293272,78.86,81.377,76.639,277.0,4124.05538986272,2.84,1433925.0,1442176.0,5.13,98.0,277.04321289,17.602163992984,17.602163992984,1354998.0,17.0,3.05,18.24,0.69,55.16,91.32
Albania,ALB,2017,1.491,59.383,2873457.0,70.6369415898919,13.616,6.57848787,79.047,81.504,76.873,265.0,4531.03220675893,2.84,1433238.0,1440219.0,5.13,99.0,297.4619751,18.5552438171978,18.5552438171978,1377319.0,20.0,2.94,18.99,0.69,55.59,92.01
Albania,ALB,2018,1.44,60.319,2866376.0,70.65335162337,12.304,6.66844559,79.184,81.608,77.037,256.0,5287.66080067575,2.84,1430495.0,1435881.0,5.11,99.0,351.3012085,19.0461862321065,19.0461862321065,1409389.0,18.0,2.8,19.77,0.69,56.01,92.7
Albania,ALB,2019,1.414,61.229,2854191.0,70.6658550054076,11.466,6.86214113,79.282,81.666,77.168,250.0,5396.2142432843,2.85,1425364.0,1428828.0,5.11,99.0,367.75839233,15.70470712234,15.70470712234,1433004.0,16.0,2.68,20.59,0.7,56.43,93.4
Albania,ALB,2020,1.4,62.112,2837849.0,70.6745374149515,12.79,7.51920271,76.989,79.676,74.632,248.0,5343.0377039956,2.91,1418585.0,1419264.0,4.47,98.0,396.88024902,15.7070036417042,15.7070036417042,1359716.0,16.0,,21.45,0.71,56.85,94.09
Albania,ALB,2021,1.39,62.969,2811666.0,70.7057950614818,12.473,7.26731825,76.463,79.173,74.087,247.0,6377.20309553753,,1407212.0,1404454.0,,98.0,464.74285889,,,1382433.0,15.0,,22.36,0.71,57.27,94.09
Algeria,DZA,2012,2.956,68.915,37260563.0,75.867622968565,10.97,6.00050974,74.202,75.478,72.971,21025.0,6096.09001549263,1.67,18264572.0,18995990.0,0.48,95.0,336.67266846,24.3968164333132,24.3968164333132,11293832.0,73.0,2.12,10.64,4.79,42.02,87.34
Algeria,DZA,2013,2.957,69.576,38000626.0,76.2501426819848,9.82,6.03576279,74.615,75.84,73.43,21236.0,6044.67490330703,1.66,18629532.0,19371095.0,0.52,95.0,333.16027832,22.3802640164928,22.3802640164928,11793700.0,68.0,2.07,11.13,4.7,42.88,87.68
Algeria,DZA,2014,3.004,70.221,38760168.0,76.6182319353339,10.207,6.54721403,75.11,76.467,73.803,21357.0,6164.64469897525,1.65,19004433.0,19755734.0,0.56,95.0,361.15942383,24.111122951181,24.111122951181,11279335.0,72.0,2.02,11.64,4.6,43.75,88.02
Algeria,DZA,2015,3.041,70.848,39543154.0,76.9719606352109,11.206,6.96321011,75.622,76.824,74.456,21545.0,4741.49977033558,1.64,19390923.0,20152232.0,0.58,95.0,292.275177,25.6188658260447,25.6188658260447,11709257.0,75.0,1.99,12.16,4.52,44.62,88.35
Algeria,DZA,2016,3.051,71.459,40339329.0,76.3948592626,10.202,6.58904791,75.732,76.803,74.693,21532.0,4481.08196153066,1.62,19783015.0,20556314.0,0.6,91.0,261.40023804,25.5531525527547,25.5531525527547,11918706.0,70.0,1.91,12.72,4.43,45.5,88.69
Algeria,DZA,2017,3.05,72.052,41136546.0,75.7305417878483,12.0,6.53307724,75.743,76.821,74.7,21292.0,4615.86874364885,1.63,20175233.0,20961313.0,0.61,91.0,265.83843994,24.7521457818965,24.7521457818965,12069182.0,70.0,1.86,13.26,4.35,46.35,89.03
Algeria,DZA,2018,3.023,72.629,41927007.0,75.036130399841,12.15,6.38729763,76.066,77.205,74.966,20798.0,4640.31414537956,,20564404.0,21362603.0,0.61,91.0,266.46469116,24.9335900639775,24.9335900639775,12225526.0,69.0,1.86,13.77,4.27,47.16,89.36
Algeria,DZA,2019,2.988,73.189,42705368.0,73.9538774939834,12.285,5.86751413,76.474,77.76,75.238,20109.0,4530.10174483631,,20948465.0,21756903.0,0.61,88.0,235.99041748,24.3886086444981,24.3886086444981,12402025.0,61.0,1.83,14.29,4.19,47.94,89.7
Algeria,DZA,2020,2.942,73.733,43451666.0,72.2481473302903,14.04,6.14268684,74.453,75.912,73.082,19292.0,3794.40952448639,,21318767.0,22132899.0,0.54,84.0,206.03512573,25.5526558310447,25.5526558310447,11881326.0,58.0,,14.8,4.12,48.71,90.04
Algeria,DZA,2021,2.889,74.261,44177969.0,70.5470307769978,13.607,5.5283432,76.377,77.959,74.879,18384.0,4216.2512851303,,21680725.0,22497244.0,,81.0,204.56661987,,,12202063.0,54.0,,15.32,4.05,49.49,90.37
Andorra,AND,2012,,88.631,71013.0,90.6399981887222,,6.71083689,,,,3.0,44902.3807663645,,35127.0,35885.0,10.32,99.0,3013.51464844,12.2593146393596,12.2593146393596,,13.0,,16.33,1.51,39.63,100.0
Andorra,AND,2013,,88.537,71367.0,90.6400019476396,,6.79964209,,,,3.0,44747.7538641695,,35324.0,36043.0,10.14,96.0,3041.84155273,11.2698563251216,11.2698563251216,,7.6,,16.58,1.53,39.58,100.0
Andorra,AND,2014,,88.441,71621.0,90.6400003669046,,6.77308035,,,,2.0,45680.5349920165,,35473.0,36148.0,10.38,97.0,3089.84301758,10.4359992732348,10.4359992732348,,9.4,,16.81,1.56,39.53,100.0
Andorra,AND,2015,,88.345,71746.0,90.6400015710857,,6.91586447,,,,2.0,38885.5303222983,,35557.0,36188.0,10.76,97.0,2688.20629883,11.1088936507291,11.1088936507291,,6.4,,17.04,1.59,39.48,100.0
Andorra,AND,2016,,88.248,72540.0,90.6399963774364,,6.90521765,,,,2.0,39931.2169800216,,35913.0,36628.0,11.19,98.0,2755.44848633,10.1068248002358,10.1068248002358,,6.4,,17.23,1.63,39.44,100.0
Andorra,AND,2017,,88.15,73837.0,90.6400033809841,,7.07142639,,,,2.0,40632.2315521995,,36456.0,37380.0,11.1,99.0,2873.29614258,10.0219190390452,10.0219190390452,,1.6,,17.38,1.68,39.4,100.0
Andorra,AND,2018,,88.062,75013.0,90.6399959806121,,7.37541723,,,,2.0,42904.8284559223,,36943.0,38071.0,11.05,99.0,3164.38842773,9.89580638748632,9.89580638748632,,3.1,,17.53,1.73,39.36,100.0
Andorra,AND,2019,,87.984,76343.0,90.6399970923255,,7.323246,,,,2.0,41328.6004978373,,37502.0,38842.0,11.05,99.0,3026.59741211,9.01087465277866,9.01087465277866,,7.5,,17.67,1.79,39.32,100.0
Andorra,AND,2020,,87.916,77700.0,90.6399986650032,,8.78673935,,,,2.0,37207.2219994994,,38084.0,39615.0,9.68,99.0,3269.29736328,9.08028059086901,9.08028059086901,,3.0,,17.82,1.85,39.29,100.0
Andorra,AND,2021,,87.858,79034.0,90.640001548707,,8.33449364,,,,2.0,42066.4905178822,,38673.0,40361.0,,99.0,3505.99145508,,,,2.9,,17.98,1.92,39.27,100.0
Angola,AGO,2012,6.039,61.268,25188292.0,,16.557,2.39574957,58.623,61.024,56.22,71987.0,5083.82687346735,,12770743.0,12417550.0,8.61,53.0,121.79575348,24.4804929012722,24.4804929012722,10527326.0,380.0,11.23,11.36,10.12,18.73,25.61
Angola,AGO,2013,5.953,62.002,26147002.0,,16.487,2.73282695,59.307,61.684,56.925,69951.0,5061.34925297484,,13252938.0,12894065.0,8.74,54.0,142.88616943,24.5386584342125,24.5386584342125,10886364.0,376.0,11.31,11.7,9.97,19.04,25.98
Angola,AGO,2014,5.864,62.731,27128337.0,,16.401,2.43412876,60.04,62.472,57.606,68198.0,5011.9844274536,,13746371.0,13381965.0,8.32,55.0,130.74234009,23.9455836380328,23.9455836380328,11251540.0,370.0,10.44,12.06,11.0,19.36,26.35
Angola,AGO,2015,5.774,63.446,28127721.0,,16.491,2.60579467,60.655,63.094,58.213,66685.0,3217.33924005417,,14248799.0,13878923.0,7.76,59.0,107.64356232,25.0021502571501,25.0021502571501,11623549.0,366.0,10.46,12.44,10.82,19.67,26.71
Angola,AGO,2016,5.686,64.149,29154746.0,,16.58,2.71314979,61.092,63.434,58.741,65491.0,1809.70937719455,,14764575.0,14390171.0,7.01,59.0,94.1061554,25.1807008149163,25.1807008149163,12011479.0,362.0,9.96,12.82,10.65,20.01,27.08
Angola,AGO,2017,5.6,64.839,30208628.0,,16.617,2.79383755,61.68,64.019,59.331,64451.0,2439.37443934002,,15293335.0,14915293.0,6.67,56.0,112.85147095,23.9591508117097,23.9591508117097,12415650.0,359.0,2.43,13.22,10.49,20.36,27.44
Angola,AGO,2018,5.519,65.514,31273533.0,,16.599,2.58879566,62.144,64.717,59.582,63628.0,2540.50887884546,,15828040.0,15445494.0,6.17,63.0,83.89920044,24.2650153621146,24.2650153621146,12825924.0,355.0,2.28,13.64,10.34,20.72,27.81
Angola,AGO,2019,5.442,66.177,32353588.0,,16.497,2.47517991,62.448,64.922,59.977,62882.0,2191.34776433537,0.75,16370553.0,15983035.0,6.17,57.0,64.65779114,24.5988113283925,24.5988113283925,13246117.0,351.0,9.95,14.06,10.21,21.09,27.81
Angola,AGO,2020,5.371,66.825,33428486.0,,16.676,3.22070646,62.261,64.982,59.584,62306.0,1450.90511139418,,16910989.0,16517497.0,4.13,51.0,55.05102158,25.1452381976267,25.1452381976267,13728470.0,328.0,,14.5,10.08,21.49,27.81
Angola,AGO,2021,5.304,67.46,34503774.0,,15.799,2.96010613,61.643,64.307,59.029,61828.0,1927.47407827687,,17452283.0,17051491.0,,45.0,64.16342163,,,14445598.0,324.0,,10.19,9.96,21.91,27.81
Antigua and Barbuda,ATG,2012,1.655,25.526,87674.0,,,5.47921467,77.35,79.961,74.476,12.0,15136.8411091932,,46022.0,41653.0,6.44,98.0,749.94378662,17.5622893176979,17.5622893176979,,4.0,0.0,18.52,4.98,48.82,98.35
Antigua and Barbuda,ATG,2013,1.537,25.35,88497.0,,,5.50909233,77.583,80.23,74.671,11.0,14977.0718321065,3.98,46401.0,42096.0,7.0,99.0,735.49279785,18.0647918322846,18.0647918322846,,13.0,0.0,19.02,4.95,49.37,98.35
Antigua and Barbuda,ATG,2014,1.526,25.175,89236.0,,,5.87269926,77.858,80.535,74.908,10.0,15451.4952444039,3.93,46748.0,42488.0,7.24,99.0,822.39221191,18.1521399923532,18.1521399923532,,3.9,0.0,19.53,4.91,49.9,98.35
Antigua and Barbuda,ATG,2015,1.567,25.0,89941.0,,,5.27965546,77.913,80.389,75.148,10.0,15985.5411386971,4.01,47087.0,42853.0,7.39,99.0,784.64538574,19.7963197860936,19.7963197860936,,4.3,0.0,20.04,4.87,50.42,98.35
Antigua and Barbuda,ATG,2016,1.458,24.846,90564.0,,,5.12190151,78.152,80.645,75.366,10.0,16449.0591470407,3.36,47388.0,43176.0,7.73,92.0,812.51092529,19.9208792974299,19.9208792974299,,3.8,0.0,20.57,4.84,50.94,98.35
Antigua and Barbuda,ATG,2017,1.485,24.713,91119.0,,,4.87493944,78.268,80.721,75.52,10.0,16803.8702340001,3.24,47658.0,43461.0,8.26,95.0,785.4710083,19.0159494088973,19.0159494088973,,1.3,0.0,21.11,4.8,51.45,98.35
Antigua and Barbuda,ATG,2018,1.371,24.599,91626.0,,,4.84869289,78.511,81.0,75.724,9.0,18133.8226008953,,47910.0,43715.0,8.51,95.0,849.83349609,18.9233007168875,18.9233007168875,,6.3,0.0,21.68,4.77,51.95,98.35
Antigua and Barbuda,ATG,2019,1.468,24.506,92117.0,,,4.37567186,78.691,81.171,75.909,9.0,18730.0047966374,,48156.0,43961.0,8.51,95.0,801.54382324,19.0584631585727,19.0584631585727,,0.0,0.0,22.26,4.74,52.46,98.35
Antigua and Barbuda,ATG,2020,1.569,24.433,92664.0,,,5.92146206,78.841,81.316,76.061,9.0,15224.8585890561,3.29,48428.0,44236.0,6.66,96.0,875.70098877,19.6982695582914,19.6982695582914,,2.5,,22.88,4.71,52.97,98.35
Antigua and Barbuda,ATG,2021,1.58,24.38,93219.0,,,5.85133028,78.497,80.941,75.775,9.0,17178.5437160522,,48709.0,44511.0,,92.0,923.4072876,,,,5.0,,23.5,4.68,53.49,98.35
Argentina,ARG,2012,2.33,91.121,41733271.0,,7.217,9.82726669,76.467,79.953,72.939,8802.0,13082.664325572,4.6,21099001.0,20634269.0,8.4,91.0,1361.99157715,13.3571618542264,13.3571618542264,18835226.0,24.0,15.11,25.36,1.36,55.72,92.98
Argentina,ARG,2013,2.322,91.249,42202935.0,,7.1,9.78097916,76.491,79.927,73.011,8469.0,13080.2547323367,4.8,21332490.0,20870445.0,8.48,94.0,1415.21008301,14.7643699932772,14.7643699932772,18964106.0,24.0,14.23,26.15,1.35,56.63,92.98
Argentina,ARG,2014,2.312,91.377,42669500.0,,7.268,9.67129993,76.755,80.004,73.424,8148.0,12334.7982453893,4.86,21562981.0,21106519.0,8.63,94.0,1280.61486816,13.9500593062949,13.9500593062949,19049721.0,25.0,15.12,26.98,1.34,57.56,92.98
Argentina,ARG,2015,2.301,91.503,43131966.0,,7.58,10.22933674,76.76,80.188,73.294,7846.0,13789.060424772,4.97,21791541.0,21340426.0,8.57,94.0,1525.05310059,14.6245514656634,14.6245514656634,19229476.0,26.0,13.59,27.84,1.33,58.49,99.54
Argentina,ARG,2016,2.241,91.627,43590368.0,,8.083,9.85558891,76.308,79.67,72.933,7494.0,12790.2641396135,4.97,22019065.0,21571303.0,8.6,92.0,1258.3079834,14.2700594540808,14.2700594540808,19404277.0,27.0,13.68,28.75,1.32,59.44,99.59
Argentina,ARG,2017,2.168,91.749,44044811.0,,8.347,10.23174763,76.833,80.085,73.526,7069.0,14613.0356486571,5.02,22244116.0,21800696.0,8.34,86.0,1494.83605957,13.9690174802422,13.9690174802422,19580710.0,27.0,14.46,29.7,1.32,60.38,99.65
Argentina,ARG,2018,2.039,91.87,44494502.0,,9.221,10.29146862,76.999,80.329,73.631,6562.0,11795.1627452798,3.71,22467488.0,22027014.0,8.04,86.0,1216.10681152,14.1850800443346,14.1850800443346,20103008.0,27.0,15.06,30.68,1.31,61.32,99.71
Argentina,ARG,2019,1.994,91.991,44938712.0,,9.843,10.04194355,77.284,80.681,73.857,6120.0,9963.67416171662,3.71,22689693.0,22249019.0,8.04,83.0,1016.23083496,14.3996238920365,14.3996238920365,20607477.0,29.0,13.67,31.68,1.31,62.26,99.76
Argentina,ARG,2020,1.911,92.111,45376763.0,,11.461,10.34701538,75.892,79.285,72.546,5771.0,8500.83793850534,3.2,22911069.0,22465694.0,8.05,74.0,895.08465576,14.9081737974407,14.9081737974407,19406591.0,28.0,,32.71,1.31,63.19,99.82
Argentina,ARG,2021,1.885,92.229,45808747.0,,8.736,9.70880699,75.39,78.647,72.182,5461.0,10650.8604604345,3.34,23130548.0,22678199.0,,81.0,1044.77270508,,,21191985.0,29.0,,33.75,1.32,64.13,99.82
Armenia,ARM,2012,1.6,63.24,2914421.0,83.1928890340007,11.704,9.13,73.454,77.483,69.037,641.0,3643.71540108565,4.2,1576538.0,1337883.0,4.91,95.0,333.0,43.2896148307344,43.2896148307344,1446050.0,53.0,10.86,12.86,2.53,43.77,99.64
Armenia,ARM,2013,1.6,63.164,2901385.0,83.1690226085512,11.948,10.32,73.676,77.913,69.062,628.0,3833.15707396348,4.23,1572193.0,1329192.0,4.96,95.0,396.0,41.050500477264,41.050500477264,1440477.0,60.0,5.24,13.44,2.58,44.53,99.71
Armenia,ARM,2014,1.703,63.112,2889930.0,83.1453480350589,12.201,10.18,74.058,78.498,69.236,610.0,4017.22991449473,4.33,1568781.0,1321149.0,4.99,93.0,409.0,38.639237611456,38.639237611456,1433759.0,57.0,4.63,14.07,2.63,45.29,99.78
Armenia,ARM,2015,1.602,63.085,2878595.0,83.0782107165941,12.468,10.12,74.436,78.833,69.595,569.0,3666.14182210905,4.35,1565465.0,1313130.0,4.98,94.0,371.0,38.1148586893988,38.1148586893988,1426565.0,50.0,3.71,14.76,2.7,46.06,99.52
Armenia,ARM,2016,1.626,63.082,2865835.0,82.9347308607083,12.732,9.95,74.664,79.203,69.673,516.0,3679.95234740376,4.36,1561467.0,1304368.0,4.88,94.0,366.0,35.8609078798257,35.8609078798257,1418849.0,44.0,2.58,15.47,2.76,46.83,99.53
Armenia,ARM,2017,1.562,63.103,2851923.0,82.7914583760328,12.968,10.36,74.906,79.381,69.92,471.0,4041.99507105058,4.37,1556899.0,1295024.0,4.85,94.0,419.0,34.0153569947094,34.0153569947094,1408448.0,36.0,0.72,16.2,2.83,47.59,99.53
Armenia,ARM,2018,1.572,63.149,2836557.0,82.9598380412522,13.212,10.01,75.064,79.601,69.992,428.0,4391.92326991474,4.28,1551563.0,1284995.0,4.98,92.0,439.0,34.201366074335,34.201366074335,1397414.0,31.0,0.89,16.94,2.9,48.34,100.0
Armenia,ARM,2019,1.575,63.219,2820602.0,82.8228477600344,12.2,11.38,75.439,79.856,70.403,394.0,4828.50488626598,4.18,1545834.0,1274767.0,4.98,92.0,549.0,32.6618235324139,32.6618235324139,1413724.0,26.0,1.3,17.71,2.98,49.08,100.0
Armenia,ARM,2020,1.575,63.313,2805608.0,82.6858187854657,12.18,12.24,72.173,76.996,67.051,361.0,4505.86774175695,4.59,1540097.0,1265512.0,4.28,91.0,552.0,30.5796334750125,30.5796334750125,1388336.0,25.0,,18.47,3.06,49.83,100.0
Armenia,ARM,2021,1.575,63.431,2790974.0,82.5487777192111,10.012,12.34,72.043,77.35,66.554,330.0,4972.78320361917,,1534475.0,1256498.0,,93.0,613.0,,,1393091.0,25.0,,19.23,3.15,50.59,100.0
Australia,AUS,2012,1.92,85.402,22733465.0,,5.225,8.67456913,82.0463414634146,84.3,79.9,1100.0,68078.0442283168,3.75,11420547.0,11312918.0,10.72,92.0,6071.65087891,7.53280029437137,7.53280029437137,12009987.0,6.6,11.74,26.6,1.08,54.08,99.7
Australia,AUS,2013,1.855,85.502,23128129.0,,5.663,8.75058746,82.1487804878049,84.3,80.1,1062.0,68198.4193446869,3.74,11623605.0,11504523.0,10.58,91.0,5843.17382813,7.4331406197536,7.4331406197536,12180641.0,6.2,11.51,27.0,1.1,54.42,99.7
Australia,AUS,2014,1.826,85.602,23475686.0,,6.078,9.83354282,82.3,84.4,80.3,1015.0,62558.2438786332,3.79,11807077.0,11668610.0,10.46,92.0,6130.99853516,7.38760302103561,7.38760302103561,12320167.0,6.5,12.66,27.42,1.12,54.77,100.0
Australia,AUS,2015,1.814,85.701,23815995.0,,6.055,10.18225861,82.4,84.5,80.4,990.0,56758.8692027821,3.82,11988344.0,11827651.0,10.39,93.0,5322.97119141,7.18466162026884,7.18466162026884,12556446.0,6.0,13.22,27.84,1.15,55.13,100.0
Australia,AUS,2016,1.752,85.8,24190907.0,,5.711,10.09288597,82.4487804878049,84.6,80.4,992.0,49918.7939327254,3.84,12185645.0,12005262.0,10.25,94.0,5453.92480469,7.20069562395068,7.20069562395068,12730379.0,6.5,12.17,28.27,1.18,55.5,100.0
Australia,AUS,2017,1.741,85.904,24592588.0,,5.592,10.12281322,82.5,84.6,80.5,998.0,53954.553494614,,12392713.0,12199874.0,10.19,95.0,5813.61376953,7.4285359593217,7.4285359593217,13007821.0,6.7,13.13,28.7,1.21,55.87,100.0
Australia,AUS,2018,1.74,86.012,24963258.0,,5.3,10.05971909,82.7487804878049,84.9,80.7,1015.0,57273.5204750079,,12581035.0,12382224.0,10.09,95.0,5857.28808594,7.74121920379958,7.74121920379958,13308589.0,6.6,12.45,29.13,1.25,56.24,100.0
Australia,AUS,2019,1.657,86.124,25334826.0,,5.159,10.21965981,82.9,85.0,80.9,1004.0,55049.571919719,,12766991.0,12567835.0,10.09,95.0,5545.91064453,9.33099031566264,9.33099031566264,13587463.0,6.8,12.5,29.56,1.29,56.61,100.0
Australia,AUS,2020,1.581,86.241,25649248.0,,6.456,10.6837368,83.2,85.3,81.2,966.0,51868.2475567823,,12921360.0,12727887.0,10.29,95.0,5958.765625,8.25171746070811,8.25171746070811,13587001.0,7.2,,30.03,1.34,56.98,100.0
Australia,AUS,2021,1.7,86.362,25685412.0,,5.116,10.54363918,83.3,85.4,81.3,956.0,60697.2454358579,,12934659.0,12750753.0,,95.0,7055.36816406,,,13806208.0,6.5,,30.51,1.4,57.34,100.0
Austria,AUT,2012,1.44,57.147,8429991.0,98.7743527023135,4.909,10.2,80.9365853658537,83.6,78.4,261.0,48564.9173350875,7.67,4319072.0,4110918.0,12.34,92.0,4966.0,14.7199011900978,14.7199011900978,4371757.0,8.5,16.29,14.01,0.96,34.52,100.0
Austria,AUT,2013,1.44,57.336,8479823.0,98.9126418574916,5.367,10.29,81.1365853658537,83.8,78.6,254.0,50731.1272541847,7.64,4340305.0,4139517.0,12.49,95.0,5235.0,14.6599487004805,14.6599487004805,4414478.0,8.5,16.22,14.01,0.96,34.37,100.0
Austria,AUT,2014,1.46,57.526,8546356.0,98.911030882148,5.674,10.37,81.490243902439,84.0,79.1,250.0,51786.3771747905,7.58,4368440.0,4177916.0,12.33,98.0,5394.0,12.9541454673827,12.9541454673827,4438256.0,7.6,16.51,14.01,0.97,34.22,100.0
Austria,AUT,2015,1.49,57.715,8642699.0,98.9094213452267,5.802,10.37,81.190243902439,83.7,78.8,252.0,44195.8175947748,7.54,4406154.0,4236544.0,12.19,93.0,4613.0,13.5999635409,13.5999635409,4490374.0,7.5,16.0,14.0,0.98,34.09,100.0
Austria,AUT,2016,1.53,57.905,8736668.0,98.9078081893026,6.064,10.35,81.6414634146342,84.1,79.3,256.0,45307.5878620429,7.42,4444108.0,4292559.0,11.93,87.0,4710.0,12.5143795701306,12.5143795701306,4573321.0,8.1,15.53,14.01,0.99,33.97,100.0
Austria,AUT,2017,1.52,58.094,8797566.0,98.9062020537843,5.561,10.38,81.6439024390244,84.0,79.4,257.0,47429.1584564387,7.37,4472047.0,4325519.0,11.92,90.0,4939.0,12.1557592255042,12.1557592255042,4600302.0,7.3,15.35,14.03,1.02,33.86,100.0
Austria,AUT,2018,1.47,58.297,8840521.0,98.9044748151298,4.933,10.35,81.6926829268293,84.1,79.4,251.0,51466.5565633634,7.27,4492714.0,4347806.0,11.97,85.0,5337.0,12.5861934480679,12.5861934480679,4638625.0,6.1,15.74,14.06,1.05,33.75,100.0
Austria,AUT,2019,1.46,58.515,8879920.0,98.9026191314884,4.56,10.49,81.8951219512195,84.2,79.7,243.0,50067.5857265892,7.19,4511982.0,4367938.0,11.97,85.0,5263.0,11.4645937760057,11.4645937760057,4658940.0,6.0,14.6,14.1,1.08,33.65,100.0
Austria,AUT,2020,1.44,58.748,8916864.0,98.9006430846756,5.201,11.39,81.1926829268293,83.6,78.9,235.0,48789.4978498872,7.06,4529542.0,4387322.0,11.51,85.0,5567.0,10.9335136815146,10.9335136815146,4641353.0,4.9,,14.14,1.12,33.55,100.0
